0 level,01st level ,2nd level,3rd level,4th level,5th level,6th level,Nutrition_tree_ID,[Level],ChEBI_ID,CDNO Relationships ,Synonym,,parent,parent ID,term,term ID,relationship
,,,,,,fructose ,06_fructose ,[6],CHEBI:28757,derived from,,,verbascose derived from raffinose family of oligosaccharide (rfo),,fructose,CHEBI:28757,derived from
,,,insoluble dietary fibre,,,,03_insoluble dietary fibre,[3],unspecified CHEBI term,is a,,,dietary fibre,unspecified CHEBI term,insoluble dietary fibre,unspecified CHEBI term,is a
,,,,cellulose ,,,04_cellulose ,[4],CHEBI:62967,is a,closest chebi term,,insoluble dietary fibre,unspecified CHEBI term,cellulose,CHEBI:62967,is a
,,,,,glucose ,,05_glucose ,[5],CHEBI:17234,derived from,,,cellulose,CHEBI:62967,glucose,CHEBI:17234,derived from
,,,,hemicellulose,,,04_hemicellulose,[4],CHEBI:61266,is a,,,insoluble dietary fibre,unspecified CHEBI term,hemicellulose,CHEBI:61266,is a
,,,,,mannan,,05_mannan,[5],CHEBI:28808,derived from,,,hemicellulose,CHEBI:61266,mannan,CHEBI:28808,derived from
,,,,,,mannose,06_mannose,[6],CHEBI:37684,derived from,,,mannan derived from hemicellulose,,mannose,CHEBI:37684,derived from
,,,,,xylan,,05_xylan,[5],CHEBI:37166,derived from,,,hemicellulose,CHEBI:61266,xylan,CHEBI:37166,derived from
,,,,,,glucose ,06_glucose ,[6],CHEBI:17234,derived from,,,xylan derived from hemicellulose,,glucose,CHEBI:17234,derived from
,,,,,,xylose,06_xylose,[6],CHEBI:18222,derived from,,,xylan derived from hemicellulose,,xylose,CHEBI:18222,derived from
,,,,,xyloglucan ,,05_xyloglucan ,[5],CHEBI:18233,derived from,,,hemicellulose,CHEBI:61266,xyloglucan,CHEBI:18233,derived from
,,,,,,glucose ,06_glucose ,[6],CHEBI:17234,derived from,,,xyloglucan derived from hemicellulose,,glucose,CHEBI:17234,derived from
,,,,,,xylose,06_xylose,[6],CHEBI:18222,derived from,,,xyloglucan derived from hemicellulose,,xylose,CHEBI:18222,derived from
,,,,,glucomannan,,05_glucomannan,[5],CHEBI:17020,derived from,,,hemicellulose,CHEBI:61266,glucomannan,CHEBI:17020,derived from
,,,,,,glucose ,06_glucose ,[6],CHEBI:17234,derived from,,,glucomannan derived from hemicellulose,,glucose,CHEBI:17234,derived from
,,,,,,mannose ,06_mannose ,[6],CHEBI:37684,derived from,,,glucomannan derived from hemicellulose,,mannose,CHEBI:37684,derived from
,,,,,arabinoxylan,,05_arabinoxylan,[5],CHEBI:28427,derived from,,,hemicellulose,CHEBI:61266,arabinoxylan,CHEBI:28427,derived from
,,,,,,arabinose,06_arabinose,[6],CHEBI:22599,derived from,,,arabinoxylan derived from hemicellulose,,arabinose,CHEBI:22599,derived from
,,,,,,xylose ,06_xylose ,[6],CHEBI:18222,derived from,,,arabinoxylan derived from hemicellulose,,xylose,CHEBI:18222,derived from
,,,,fructan,,,04_fructan,[4],CHEBI:28796,is a,,,insoluble dietary fibre,unspecified CHEBI term,fructan,CHEBI:28796,is a
,,,,,inulin,,05_inulin,[5],CHEBI:15443,derived from,,,fructan,CHEBI:28796,inulin,CHEBI:15443,derived from
,,,,,,fructose ,06_fructose ,[6],CHEBI:28757,derived from,,,inulin derived from fructan,,fructose,CHEBI:28757,derived from
,protein,,,,,,01_protein,[1],CHEBI:36080,is a,,,dietary nutritional component,unspecified CHEBI term,protein,CHEBI:36080,is a
,,seed storage protein,,,,,02_seed storage protein,[2],unspecified CHEBI term,is a,,,protein,CHEBI:36080,seed storage protein,unspecified CHEBI term,is a
