CHEBI:176838	#vitamin B2
CHEBI:176839	#vitamin B3
CHEBI:176840	#vitamin B5
CHEBI:27306	#vitamin B6
CHEBI:176841	#vitamin B7
CHEBI:176842	#vitamin B9
CHEBI:67016	#tetrahydrofolate
CHEBI:176843	#vitamin B12
CHEBI:176783	#vitamin C
CHEBI:17336	#all-trans-retinol
CHEBI:73558	#D3 vitamins
CHEBI:28940	#calciol
CHEBI:28934	#vitamin D2
CHEBI:33237	#vitamin D4
CHEBI:33279	#vitamin D5
CHEBI:28869	#menadione
CHEBI:16374	#menaquinone
CHEBI:18067	#phylloquinone
CHEBI:29108	#calcium(2+)
CHEBI:190295	#inorganic calcium salt
CHEBI:3312	#calcium dichloride
CHEBI:3311	#calcium carbonate
CHEBI:35437	#calcium difluoride
CHEBI:31346	#calcium sulfate
CHEBI:77635	#calcium phosphate
CHEBI:35150	#calcium hydroxide
CHEBI:31342	#calcium hypochlorite
CHEBI:190294	#calcium silicate
CHEBI:51031	#organic calcium salt
CHEBI:190513	#calcium citrate
CHEBI:31336	#calcium glycerophosphate
CHEBI:190512	#calcium tartrate 
CHEBI:190296	#calcium stearate
CHEBI:190515	#organic calcium compound
CHEBI:36093	#inorganic chloride
CHEBI:26710	#sodium chloride
CHEBI:3312	#calcium dichloride
CHEBI:6636	#magnesium dichloride
CHEBI:32588	#potassium chloride
CHEBI:48607	#lithium chloride
CHEBI:36094	#organic chloride salt
CHEBI:36683	#organochlorine compound
CHEBI:17883	#hydrogen chloride
CHEBI:29222	#hypochlorite
CHEBI:18420	#magnesium(2+)
CHEBI:190297	#inorganic magnesium salt
CHEBI:6636	#magnesium dichloride
CHEBI:190298	#magnesium phosphate
CHEBI:35149	#magnesium hydroxide
CHEBI:190299	#organic magnesium salt
CHEBI:9254	#magnesium distearate
CHEBI:31793	#magnesium carbonate
CHEBI:32599	#magnesium sulfate 
CHEBI:33468	#phosphide
CHEBI:26078	#phosphoric acid
CHEBI:190300	#inorganic phosphate salt
CHEBI:37586	#sodium phosphate
CHEBI:190301	#potassium phosphate
CHEBI:77635	#calcium phosphate
CHEBI:190298	#magnesium phosphate
CHEBI:131371	#iron(3+) phosphate
CHEBI:190302	#organic phosphate salt
CHEBI:190516	#organic phosphate compound
CHEBI:60479	#lysophosphatidylcholine
CHEBI:64482	#phosphatidylcholine
CHEBI:16038	#phosphatidylethanolamine
CHEBI:28874	#phosphatidylinositol
CHEBI:11750	#3-sn-phosphatidyl-L-serine
CHEBI:17401	#myo-inositol hexakisphosphate
CHEBI:29103	#potassium(1+)
CHEBI:190303	#inorganic potassium salt
CHEBI:32588	#potassium chloride
CHEBI:190301	#potassium phosphate
CHEBI:32036	#potassium sulfate
CHEBI:50394	#organic potassium salt
CHEBI:63316	#potassium formate
CHEBI:32034	#potassium bitartrate
CHEBI:26708	#sodium(1+)
CHEBI:38702	#inorganic sodium salt
CHEBI:26710	#sodium chloride
CHEBI:32139	#sodium hydrogencarbonate
CHEBI:32149	#sodium sulfate
CHEBI:37586	#sodium phosphate
